Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7813504823151125,0.21153846153846154,0.5238095238095238,0.3013698630136986
Random Forest,0.7717041800643086,0.2054794520547945,0.5357142857142857,0.297029702970297
XGBoost,0.8413719185423365,0.2808219178082192,0.4880952380952381,0.3565217391304348
