is_scam,cleaned_stipend_monthly,has_website,has_email,skills_count,title_word_count,desc_char_length,numeric_openings,is_bulk_hiring,is_wfh_short_duration,company_name_word_count,link_count_desc,contact_count_desc,all_caps_ratio_desc,keyword_count,stipend_to_skills_ratio,text_density_index,low_skills_high_urgency,is_anonymous_recruiter,readability_score,fraud_phrase_score,urgency_score,contact_risk_score,skill_richness_score,readability_score,word_count,sentence_count,average_word_length,unique_word_count,lexical_diversity
0,1050.0,1,0,7,9,334,20,0,1,2,0,0,0.0185873605947955,0,131.25,0.026865671641791,0,0,10.980428571428575,0,0,0,0.7,10.980428571428575,43,5,6.255813953488372,38,0.8837209302325582
0,12500.0,0,0,3,3,214,0,0,0,4,0,0,0.0342857142857142,0,3125.0,0.013953488372093,0,1,-11.262499999999989,6,0,8,0.75,-11.262499999999989,26,4,6.730769230769231,23,0.8846153846153846
0,7500.0,0,0,5,5,3775,2,0,0,2,0,0,0.0304743952246308,0,1250.0,0.0013241525423728,0,1,-41.51146350931674,0,0,0,0.8333333333333334,-41.51146350931674,493,8,6.456389452332657,236,0.4787018255578093
0,12750.0,1,0,7,4,605,6,0,0,2,0,0,0.0160320641282565,0,1593.75,0.0066006600660066,0,0,10.181973684210504,0,0,0,1.4,10.181973684210504,72,8,6.930555555555555,58,0.8055555555555556
1,14000.0,1,0,6,6,1240,2,0,0,3,2,0,0.0387755102040816,0,2000.0,0.0048348106365834,0,0,50.10630627670065,6,0,8,0.8571428571428571,50.10630627670065,181,17,5.254143646408839,129,0.712707182320442
0,9000.0,1,0,3,5,2042,1,0,0,1,0,0,0.04,0,2250.0,0.0024473813020068,0,0,22.160728021978,0,0,0,0.5,22.160728021978,258,28,6.492248062015504,153,0.5930232558139535
0,11000.0,0,0,1,2,531,0,0,0,5,0,0,0.037122969837587,0,5500.0,0.0037593984962406,0,1,13.690490196078455,0,0,0,0.3333333333333333,13.690490196078455,66,6,6.53030303030303,52,0.7878787878787878
0,28100.0,1,0,4,5,385,8,0,0,1,0,0,0.0347003154574132,0,5620.0,0.0129533678756476,0,0,42.73250000000005,6,0,8,0.6666666666666666,42.73250000000005,57,4,5.56140350877193,50,0.8771929824561403
0,9000.0,1,0,1,9,610,5,0,0,4,0,0,0.0280561122244488,0,4500.0,0.0147299509001636,0,0,33.03476744186048,0,0,0,0.1,33.03476744186048,83,7,6.0120481927710845,64,0.7710843373493976
0,10500.0,0,0,4,2,1199,0,0,0,5,0,0,0.015228426395939,0,2100.0,0.0016666666666666,0,1,24.474252032520354,0,0,0,1.3333333333333333,24.474252032520354,155,15,6.354838709677419,105,0.6774193548387096
1,12000.0,0,0,8,9,868,1,0,0,4,0,0,0.0198300283286118,0,1333.3333333333333,0.0103567318757192,0,1,13.074467084639537,0,0,0,0.8,13.074467084639537,109,11,6.477064220183486,80,0.7339449541284404
0,6500.0,1,0,11,7,418,2,0,0,6,0,0,0.0329341317365269,0,541.6666666666666,0.0167064439140811,0,0,51.36839743589746,0,0,0,1.375,51.36839743589746,65,6,5.138461538461539,53,0.8153846153846154
0,7750.0,1,0,4,2,1380,0,0,0,5,0,0,0.019197207678883,0,1550.0,0.001448225923244,0,0,21.48829931972793,0,0,0,1.3333333333333333,21.48829931972793,197,12,5.817258883248731,121,0.6142131979695431
0,13000.0,1,0,4,7,270,1,0,0,5,0,0,0.0506912442396313,0,2600.0,0.025830258302583,0,0,25.69571428571433,0,0,0,0.5,25.69571428571433,37,5,5.864864864864865,33,0.8918918918918919
0,5500.0,1,0,2,9,223,1,0,0,3,0,0,0.0216216216216216,0,1833.3333333333333,0.0401785714285714,0,0,-1.813405172413752,0,0,0,0.2,-1.813405172413752,29,4,6.379310344827586,25,0.8620689655172413
0,10000.0,1,0,12,4,595,2,0,0,4,0,0,0.0221327967806841,0,769.2307692307693,0.0067114093959731,0,0,11.37189033189034,0,0,0,2.4,11.37189033189034,72,9,6.902777777777778,54,0.75
0,5000.0,1,0,6,4,1691,4,0,0,5,0,0,0.0252343186733958,0,714.2857142857143,0.0023640661938534,0,0,11.962114630467596,0,1,0,1.2,11.962114630467596,217,15,6.391705069124424,151,0.695852534562212
0,11000.0,0,0,5,2,112,0,0,0,2,0,0,0.0109890109890109,0,1833.3333333333333,0.0176991150442477,0,1,5.375,0,0,0,1.6666666666666667,5.375,15,3,6.066666666666666,14,0.9333333333333332
0,5500.0,1,0,4,4,228,1,0,0,2,0,0,0.0497237569060773,0,1100.0,0.0174672489082969,0,0,33.58803571428575,0,0,0,0.8,33.58803571428575,35,4,5.171428571428572,30,0.8571428571428571
0,17500.0,1,0,5,6,275,2,0,0,6,0,0,0.0304347826086956,0,2916.6666666666665,0.0217391304347826,0,0,9.416607142857174,0,0,0,0.7142857142857143,9.416607142857174,36,4,6.388888888888889,29,0.8055555555555556
0,10000.0,1,0,3,5,243,2,0,0,1,0,0,0.0510204081632653,0,2500.0,0.0204918032786885,0,0,30.327000000000027,0,0,0,0.5,30.327000000000027,35,5,5.6,29,0.8285714285714286
0,15000.0,1,0,2,5,1362,1,0,0,4,0,0,0.0247568523430592,0,5000.0,0.0036683785766691,0,0,24.957525906735786,0,1,0,0.3333333333333333,24.957525906735786,193,14,5.860103626943006,117,0.6062176165803109
