is_scam,cleaned_stipend_monthly,has_website,has_email,skills_count,title_word_count,desc_char_length,numeric_openings,is_bulk_hiring,is_wfh_short_duration,company_name_word_count,link_count_desc,contact_count_desc,all_caps_ratio_desc,keyword_count,stipend_to_skills_ratio,text_density_index,low_skills_high_urgency,is_anonymous_recruiter
0,1050.0,1,0,7,9,334,20,0,1,2,0,0,0.01858736059479554,0,131.25,0.026865671641791045,0,0
0,12500.0,0,0,3,3,214,0,0,0,4,0,0,0.03428571428571429,0,3125.0,0.013953488372093023,0,1
0,7500.0,0,0,5,5,3775,2,0,0,2,0,0,0.03047439522463085,0,1250.0,0.0013241525423728813,0,1
0,12750.0,1,0,7,4,605,6,0,0,2,0,0,0.01603206412825651,0,1593.75,0.006600660066006601,0,0
1,14000.0,1,0,6,6,1240,2,0,0,3,2,0,0.03877551020408163,0,2000.0,0.004834810636583401,0,0
0,9000.0,1,0,3,5,2042,1,0,0,1,0,0,0.04,0,2250.0,0.0024473813020068525,0,0
0,11000.0,0,0,1,2,531,0,0,0,5,0,0,0.037122969837587005,0,5500.0,0.0037593984962406013,0,1
0,28100.0,1,0,4,5,385,8,0,0,1,0,0,0.03470031545741325,0,5620.0,0.012953367875647668,0,0
0,9000.0,1,0,1,9,610,5,0,0,4,0,0,0.028056112224448898,0,4500.0,0.014729950900163666,0,0
0,10500.0,0,0,4,2,1199,0,0,0,5,0,0,0.015228426395939087,0,2100.0,0.0016666666666666668,0,1
1,12000.0,0,0,8,9,868,1,0,0,4,0,0,0.019830028328611898,0,1333.3333333333333,0.010356731875719217,0,1
0,6500.0,1,0,11,7,418,2,0,0,6,0,0,0.03293413173652695,0,541.6666666666666,0.016706443914081145,0,0
0,7750.0,1,0,4,2,1380,0,0,0,5,0,0,0.019197207678883072,0,1550.0,0.001448225923244026,0,0
0,13000.0,1,0,4,7,270,1,0,0,5,0,0,0.05069124423963134,0,2600.0,0.025830258302583026,0,0
0,5500.0,1,0,2,9,223,1,0,0,3,0,0,0.021621621621621623,0,1833.3333333333333,0.04017857142857143,0,0
0,10000.0,1,0,12,4,595,2,0,0,4,0,0,0.022132796780684104,0,769.2307692307693,0.006711409395973154,0,0
0,5000.0,1,0,6,4,1691,4,0,0,5,0,0,0.025234318673395817,0,714.2857142857143,0.002364066193853428,0,0
0,11000.0,0,0,5,2,112,0,0,0,2,0,0,0.01098901098901099,0,1833.3333333333333,0.017699115044247787,0,1
0,5500.0,1,0,4,4,228,1,0,0,2,0,0,0.049723756906077346,0,1100.0,0.017467248908296942,0,0
0,17500.0,1,0,5,6,275,2,0,0,6,0,0,0.030434782608695653,0,2916.6666666666665,0.021739130434782608,0,0
0,10000.0,1,0,3,5,243,2,0,0,1,0,0,0.05102040816326531,0,2500.0,0.020491803278688523,0,0
0,15000.0,1,0,2,5,1362,1,0,0,4,0,0,0.02475685234305924,0,5000.0,0.003668378576669112,0,0
0,5500.0,1,0,4,4,835,0,0,0,2,0,0,0.03183791606367583,0,1100.0,0.004784688995215311,0,0
0,7500.0,0,0,3,4,855,4,0,0,2,0,0,0.026239067055393587,0,1875.0,0.004672897196261682,0,1
0,25000.0,1,0,4,4,879,1,0,0,5,0,0,0.05907172995780591,0,5000.0,0.004545454545454545,0,0
1,2250.0,1,0,7,5,541,2,0,0,1,0,0,0.02546296296296296,0,281.25,0.00922509225092251,0,0
0,13500.0,1,0,12,6,963,12,0,0,2,0,0,0.04466501240694789,0,1038.4615384615386,0.006224066390041493,0,0
0,15000.0,1,0,9,5,1526,2,0,0,2,0,0,0.035398230088495575,0,1500.0,0.0032743942370661427,0,0
0,17500.0,1,0,6,4,153,2,0,0,5,0,0,0.056910569105691054,0,2500.0,0.025974025974025976,0,0
1,13000.0,1,0,4,12,1221,0,0,0,2,0,0,0.016260162601626018,0,2600.0,0.009819967266775777,0,0
0,4500.0,1,0,3,5,1074,5,0,0,1,0,0,0.028312570781426953,0,1125.0,0.004651162790697674,0,0
0,12500.0,1,0,7,4,413,1,0,0,2,0,0,0.039755351681957186,0,1562.5,0.00966183574879227,0,0
0,11500.0,0,0,12,5,749,1,0,0,2,0,0,0.025559105431309903,0,884.6153846153846,0.006666666666666667,0,1
1,12500.0,1,0,5,5,1326,1,0,0,2,0,0,0.056169429097605895,0,2083.3333333333335,0.0037678975131876413,0,0
0,16501.5,1,0,5,3,689,0,0,0,3,0,0,0.014184397163120567,0,2750.25,0.004347826086956522,0,0
1,6500.0,0,0,10,4,886,1,0,0,6,0,0,0.06666666666666667,0,590.9090909090909,0.004509582863585118,0,1
0,93000.0,1,0,3,5,493,3,0,0,4,0,0,0.028169014084507043,0,23250.0,0.010121457489878543,0,0
0,27500.0,1,0,1,5,1049,3,0,0,2,0,0,0.01990632318501171,0,13750.0,0.004761904761904762,0,0
0,4500.0,0,0,4,9,741,3,0,0,1,0,0,0.02800658978583196,0,900.0,0.012129380053908356,0,1
0,7250.0,1,0,5,5,7,0,0,0,2,0,0,0.14285714285714285,0,1208.3333333333333,0.625,0,0
